systematic_name	goid
YBL050W	GO:0005737
YBL050W	GO:0016020
YBL050W	GO:0005773
YBL050W	GO:0030234
YBL050W	GO:0048193
YBL050W	GO:0061025
YBL050W	GO:0048284
YBL050W	GO:0007033
YBL050W	GO:0016050
YBL051C	GO:0005737
YBL051C	GO:0003723
YBL051C	GO:0003729
YBL051C	GO:0006974
YBL051C	GO:0000278
YBL052C	GO:0033100
YBL052C	GO:0000123
YBL052C	GO:0005634
YBL052C	GO:0016740
YBL052C	GO:0006325
YBL052C	GO:0016570
YBL052C	GO:0018193
YBL052C	GO:0043543
YBL054W	GO:0070210
YBL054W	GO:0005694
YBL054W	GO:0005737
YBL054W	GO:0000118
YBL054W	GO:0005634
YBL054W	GO:0003677
YBL054W	GO:0006366
YBL055C	GO:0005737
YBL055C	GO:0016787
YBL055C	GO:0004518
YBL055C	GO:0042221
YBL055C	GO:0006979
YBL056W	GO:0005737
YBL056W	GO:0005634
YBL056W	GO:0016787
YBL056W	GO:0016791
YBL056W	GO:0006470
YBL056W	GO:0006468
YBL056W	GO:0051726
YBL056W	GO:0031399
YBL056W	GO:0006970
YBL056W	GO:0023052
YBL057C	GO:0005737
YBL057C	GO:0016020
YBL057C	GO:0005740
YBL057C	GO:0005739
YBL057C	GO:0016787
YBL057C	GO:0051604
YBL057C	GO:0051603
YBL058W	GO:0005737
YBL058W	GO:0005634
YBL058W	GO:0030234
YBL058W	GO:0005975
YBL058W	GO:0007059
YBL058W	GO:0007010
YBL058W	GO:0006091
YBL058W	GO:0051321
YBL058W	GO:0010324
YBL058W	GO:0000278
YBL058W	GO:0070925
YBL058W	GO:0048285
YBL058W	GO:0051603
YBL058W	GO:0042594
YBL058W	GO:0043934
YBL058W	GO:0007033
YBL060W	GO:0005933
YBL060W	GO:0005737
YBL060W	GO:0030427
YBL060W	GO:0005085
YBL060W	GO:0006629
YBL061C	GO:0005938
YBL061C	GO:0005933
YBL061C	GO:0005737
YBL061C	GO:0005856
YBL061C	GO:0030427
YBL061C	GO:0030234
YBL061C	GO:0005975
YBL061C	GO:0071554
YBL063W	GO:0005856
YBL063W	GO:0005871
YBL063W	GO:0005874
YBL063W	GO:0005815
YBL063W	GO:0005634
YBL063W	GO:0005819
YBL063W	GO:0005876
YBL063W	GO:0000922
YBL063W	GO:0005816
YBL063W	GO:0016787
YBL063W	GO:0005198
YBL063W	GO:0007059
YBL063W	GO:0007010
YBL063W	GO:0000278
YBL063W	GO:0070925
YBL063W	GO:0048285
YBL063W	GO:0070271
YBL064C	GO:0005737
YBL064C	GO:0005739
YBL064C	GO:0016491
YBL064C	GO:0042221
YBL064C	GO:0006979
YBL066C	GO:0005575
YBL066C	GO:0003674
YBL066C	GO:0008150
YBL067C	GO:0005575
YBL067C	GO:0016787
YBL067C	GO:0008233
YBL068W	GO:0005737
YBL068W	GO:0016740
YBL068W	GO:0071554
YBL069W	GO:0005794
YBL069W	GO:0005737
YBL069W	GO:0012505
YBL069W	GO:0016020
YBL069W	GO:0005886
YBL069W	GO:0003674
YBL069W	GO:0006605
YBL072C	GO:0030686
YBL072C	GO:0005737
YBL072C	GO:0022626
YBL072C	GO:0022627
